sep=,
"Time","temperature","windSpeed","solarRad","humedad","rain","Power_gen","pressure_sensor","pressure"
1708507570000,13.4444,6.43738,408,60,0,0,385.06233887078645,29.09
1708511471000,15.8889,8.04672,538,60,0,0,384.3846925563534,29.093
1708515372000,18.1667,9.65606,561,55,0,0,385.13375960324686,29.072
1708518073000,18.6667,19.3121,612,58,0,0,385.00809781007615,29.048
1708519284000,19.0556,20.9215,612,57,0,0,384.87803268356373,29.037
1708520491000,18.8333,20.9215,504,59,0,0,385.04996283540913,29.032
1708521691000,18.7222,30.5775,629,61,0,0,385.73521490743246,29.013
1708522615000,18.5556,19.3121,577,62,0,0,385.4719489473308,29.005
1708523815000,18.6667,17.7028,541,62,0,0,386.005452811992,28.995
1708524777000,18.8889,16.0934,501,62,0,0,384.198518288319,28.992
1708525978000,18.4444,16.0934,461,64,0,0,384.5516189203104,28.98
1708527178000,17.7778,19.3121,418,66,0,0,384.2455872530559,28.984
1708528381000,17.8889,25.7495,446,66,0,0,384.3323862936267,28.971
1708529583000,17.2222,19.3121,260,68,0,0,384.55879101628375,28.967
1708530783000,17.0556,17.7028,269,70,0,0,384.36744616743135,28.968
1708531991000,16.5,16.0934,132,73,0,0,383.33102826140015,28.966
1708532918000,16.1667,16.0934,107,75,0,0,385.56825518488955,28.96
1708534123000,15.5556,16.0934,62,77,0,0,384.42852573825576,28.963
1708535337000,15,17.7028,58,78,0,0,384.7941024813822,28.961
1708536538000,14.5556,16.0934,14,80,0,0,383.4056514181091,28.969
1708540439000,13.6667,8.04672,0,83,0,0,382.71266015415165,28.977
1708544640000,13.2222,0,0,85,0,0,383.3203201553189,28.963
1708548841000,13.1111,3.21869,0,86,0,0,382.5061371487044,28.953
1708552742000,13.9444,6.43738,0,82,0,0,381.571563005495,28.938
1708556943000,13.3889,1.60934,0,84,0,0,383.5422548274624,28.927
1708561145000,15.1667,3.21869,0,59,0,0,383.31264768055667,28.9
1708565346000,15.1667,8.04672,0,46,0,0,382.47574747692886,28.893
1708569247000,14.9444,6.43738,0,40,0,0,383.6139757871961,28.857
1708573148000,13.7222,6.43738,0,35,0,0,383.91030010594716,28.842
1708577349000,13.5556,8.04672,0,39,0,0,384.05807864158453,28.829
1708581250000,13.1111,8.04672,0,52,0,0,384.0160801819079,28.821
1708585451000,13.1667,1.60934,18,44,0,0,385.364901245105,28.823
1708589652000,15.1111,4.82803,153,45,0,0,451.9262551355905,28.816
1708593853000,17.7222,6.43738,406,38,0,0,428.79157541943334,28.799
1708601955000,22.6667,8.04672,543,31,0,0,387.8732667549738,28.75
1708608557000,26.3333,17.7028,436,23,0,0,389.38220903059965,28.671
1708609767000,25.6111,16.0934,283,20,0,0,389.91217688515303,28.666
1708610715000,24.8889,16.0934,243,22,0,0,388.0105373360456,28.656
1708611922000,24.5556,16.0934,174,20,0,0,387.2176037486639,28.634
1708615823000,23.8333,17.7028,109,21,0,0,387.39567188031907,28.624
1708617023000,23.3889,16.0934,49,22,0,0,387.287022965969,28.612
1708620924000,22.2778,11.2654,32,27,0,0,386.9330883693294,28.602
1708625125000,21.3333,1.60934,0,27,0,0,384.9475186180406,28.611
1708628126000,20.6111,17.7028,0,27,0,0,383.25460374105126,28.608
1708629329000,19.9444,16.0934,0,30,0,0,381.7481967179556,28.609
1708630533000,19.1667,16.0934,0,34,0,0,384.71997970346206,28.6
1708631243000,18.8333,30.5775,0,37,0,0,382.3667983353055,28.601
1708631843000,18.6667,35.4056,0,37,0,0,383.7386368227891,28.598
1708632443000,18.5556,30.5775,0,39,0,0,384.128632050811,28.598
1708633643000,18,33.7962,0,41,0,0,386.83648190449736,28.599
1708634844000,17.6667,28.9682,0,44,0,0,384.6222390467086,28.618
1708635466000,17.5,35.4056,0,45,0,0,384.63785086492055,28.623
1708636666000,17.1667,20.9215,0,47,0,0,384.2544606369113,28.625
1708637605000,17.0556,16.0934,0,47,0,0,384.461617455491,28.624
1708641526000,16.2222,9.65606,0,53,0,0,384.7711517742675,28.613
